                                                   Tweet  Favorites  Compound  Positive  Neutral  Negative
248    Listening to my brother eat reheated pizza tha...          1   -0.5719     0.070    0.767     0.164
249    https://t.co/ww85d8EqDx @busybasmr is an aweso...          1    0.6249     0.227    0.773     0.000
250    @iCon92_ I did asmr video thru them this morni...          1    0.0000     0.000    1.000     0.000
251              Am I the only one obsessed with ASMR? 😂          1    0.2960     0.232    0.549     0.220
252                    @109volts this is my kind of asmr          2    0.0000     0.000    1.000     0.000
253    hotel california is like asmr to me idk i coul...          7    0.0000     0.185    0.630     0.185
254    I just saw an asmr video of a girl mixing like...          0    0.3612     0.111    0.889     0.000
255    A lovely compliment I got today has me wonderi...          7    0.7845     0.277    0.723     0.000
256    @TheUnknownUsa Ear eating asmr is where it’s a...          0    0.0000     0.000    1.000     0.000
257           ASMR Paper Rapping https://t.co/9pP5HBeuAP          1    0.0000     0.000    1.000     0.000
258              Today I found out furry ASMR is a thing          8    0.0000     0.000    1.000     0.000
259    50 send now for my stone crabs 😈👣#findom #mukb...          1    0.0000     0.000    1.000     0.000
260    If you find asmr confusing (like I do) and you...          0    0.6705     0.281    0.646     0.072
261    terezi pyrope eats dave striders hair straight...          2    0.2942     0.135    0.865     0.000
262    This is the second video in the Marketplace AS...          0   -0.2960     0.000    0.905     0.095
263    asmr: using scissors to scrape gum outta your ...          0    0.4939     0.176    0.824     0.000
264    ASMR | Peeling Stickers off Microphone, Sticky...          0    0.0000     0.000    1.000     0.000
265    Yes Bubba.  This ASMR video will defiantly hel...          2    0.8020     0.427    0.573     0.000
266    @infinite_bagel tsudaken tells u to commit cri...          1   -0.0772     0.206    0.561     0.234
267    okay so..... I'm into ASMR now. like i think i...          9    0.5267     0.306    0.694     0.000
268    Best asmr. We really relaxed after that. https...          1    0.8268     0.562    0.438     0.000
269    Do you like it when soap is crushed in your ha...          0   -0.1511     0.128    0.715     0.158
270    okay but i love her speaking voice so much?? p...          1    0.8996     0.523    0.477     0.000
271    @busybasmr say no more fam https://t.co/EaelEF...          6   -0.2960     0.000    0.694     0.306
272    @RaisedByKingsGG There is legit no way u dont ...          1   -0.2960     0.000    0.896     0.104
273    New Eraudica Exclusive - ASMR Layered Cock Wor...          1    0.2732     0.327    0.531     0.142
274    asmr idea: antoni from queer eye comes to ur h...          1    0.3182     0.099    0.901     0.000
275    Me breaking into your house ASMR https://t.co/...          4    0.0000     0.000    1.000     0.000
276                Good evening  https://t.co/6JlzKHSh4U          0    0.4404     0.592    0.408     0.000
277    Asmr videos are pretty annoying to me Idk why ...          1   -0.0553     0.211    0.537     0.252
278    Risa’s thetye to watch xronchy ASMR  videos to...          1    0.2040     0.191    0.687     0.122
279    Troye Sivan Explores ASMR | W Magazine https:/...          1    0.0000     0.000    1.000     0.000
280    why did warning play in the middle of my and j...          2    0.0000     0.152    0.696     0.152
